,City mpg,Classification,Driveline,Engine Type,Fuel Type,Height,Highway mpg,Horsepower,Hybrid,ID,Length,Make,Model Year,Number of Forward Gears,Torque,Transmission,Width,Year
669,20,Automatic transmission,Rear-wheel drive,Hyundai 2.0L 4 Cylinder 210 hp 223 ft-lbs Turbo,Gasoline,104,30,210,False,2011 Hyundai Genesis Coupe 2.0T Premium,22,Hyundai,2011 Hyundai Genesis Coupe,5,223,5 Speed Automatic Select Shift,72,2011
670,17,Automatic transmission,Rear-wheel drive,Hyundai 3.8L 6 Cylinder 306 hp 266 ft-lbs,Gasoline,104,27,306,False,2011 Hyundai Genesis Coupe 3.8 Grand Touring,22,Hyundai,2011 Hyundai Genesis Coupe,6,266,6 Speed Automatic Select Shift,72,2011
671,17,Manual transmission,Rear-wheel drive,Hyundai 3.8L 6 Cylinder 306 hp 266 ft-lbs,Gasoline,104,26,306,False,2011 Hyundai Genesis Coupe 3.8 R-Spec,22,Hyundai,2011 Hyundai Genesis Coupe,6,266,6 Speed Manual,72,2011
672,21,Manual transmission,Rear-wheel drive,Hyundai 2.0L 4 Cylinder 210 hp 223 ft-lbs Turbo,Gasoline,104,30,210,False,2011 Hyundai Genesis Coupe 2.0T R-Spec,22,Hyundai,2011 Hyundai Genesis Coupe,6,223,6 Speed Manual,72,2011
673,17,Manual transmission,Rear-wheel drive,Hyundai 3.8L 6 Cylinder 306 hp 266 ft-lbs,Gasoline,104,26,306,False,2011 Hyundai Genesis Coupe 3.8 Track,22,Hyundai,2011 Hyundai Genesis Coupe,6,266,6 Speed Manual,72,2011
674,17,Automatic transmission,Rear-wheel drive,Hyundai 3.8L 6 Cylinder 306 hp 266 ft-lbs,Gasoline,104,27,306,False,2011 Hyundai Genesis Coupe 3.8 Track AT,22,Hyundai,2011 Hyundai Genesis Coupe,6,266,6 Speed Automatic Select Shift,72,2011
675,21,Manual transmission,Rear-wheel drive,Hyundai 2.0L 4 Cylinder 210 hp 223 ft-lbs Turbo,Gasoline,104,30,210,False,2010 Hyundai Genesis Coupe 2.0T Premium,22,Hyundai,2010 Hyundai Genesis Coupe,6,223,6 Speed Manual,72,2010
676,17,Automatic transmission,Rear-wheel drive,Hyundai 3.8L 6 Cylinder 306 hp 266 ft-lbs,Gasoline,104,27,306,False,2010 Hyundai Genesis Coupe 3.8 AT,22,Hyundai,2010 Hyundai Genesis Coupe,6,266,6 Speed Automatic Select Shift,72,2010
677,17,Automatic transmission,Rear-wheel drive,Hyundai 3.8L 6 Cylinder 306 hp 266 ft-lbs,Gasoline,104,27,306,False,2010 Hyundai Genesis Coupe 3.8 Track AT,22,Hyundai,2010 Hyundai Genesis Coupe,6,266,6 Speed Automatic Select Shift,72,2010
678,21,Manual transmission,Rear-wheel drive,Hyundai 2.0L 4 Cylinder 210 hp 223 ft-lbs Turbo,Gasoline,104,30,210,False,2010 Hyundai Genesis Coupe 2.0T R-Spec,22,Hyundai,2010 Hyundai Genesis Coupe,6,223,6 Speed Manual,72,2010
679,20,Automatic transmission,Rear-wheel drive,Hyundai 2.0L 4 Cylinder 210 hp 223 ft-lbs Turbo,Gasoline,104,30,210,False,2010 Hyundai Genesis Coupe 2.0T Premium AT,22,Hyundai,2010 Hyundai Genesis Coupe,5,223,5 Speed Automatic Select Shift,72,2010
680,21,Manual transmission,Rear-wheel drive,Hyundai 2.0L 4 Cylinder 210 hp 223 ft-lbs Turbo,Gasoline,104,30,210,False,2010 Hyundai Genesis Coupe 2.0T Track,22,Hyundai,2010 Hyundai Genesis Coupe,6,223,6 Speed Manual,72,2010
681,17,Manual transmission,Rear-wheel drive,Hyundai 3.8L 6 Cylinder 306 hp 266 ft-lbs,Gasoline,104,26,306,False,2010 Hyundai Genesis Coupe 3.8,22,Hyundai,2010 Hyundai Genesis Coupe,6,266,6 Speed Manual,72,2010
682,17,Automatic transmission,Rear-wheel drive,Hyundai 3.8L 6 Cylinder 306 hp 266 ft-lbs,Gasoline,104,27,306,False,2010 Hyundai Genesis Coupe 3.8 Grand Touring AT,22,Hyundai,2010 Hyundai Genesis Coupe,6,266,6 Speed Automatic Select Shift,72,2010
683,17,Manual transmission,Rear-wheel drive,Hyundai 3.8L 6 Cylinder 306 hp 266 ft-lbs,Gasoline,104,26,306,False,2010 Hyundai Genesis Coupe 3.8 Track,22,Hyundai,2010 Hyundai Genesis Coupe,6,266,6 Speed Manual,72,2010
684,20,Automatic transmission,Rear-wheel drive,Hyundai 2.0L 4 Cylinder 210 hp 223 ft-lbs Turbo,Gasoline,104,30,210,False,2010 Hyundai Genesis Coupe 2.0T AT,22,Hyundai,2010 Hyundai Genesis Coupe,5,223,5 Speed Automatic Select Shift,72,2010
685,17,Manual transmission,Rear-wheel drive,Hyundai 3.8L 6 Cylinder 306 hp 266 ft-lbs,Gasoline,104,26,306,False,2010 Hyundai Genesis Coupe 3.8 Grand Touring,22,Hyundai,2010 Hyundai Genesis Coupe,6,266,6 Speed Manual,72,2010
686,21,Manual transmission,Rear-wheel drive,Hyundai 2.0L 4 Cylinder 210 hp 223 ft-lbs Turbo,Gasoline,104,30,210,False,2010 Hyundai Genesis Coupe 2.0T,22,Hyundai,2010 Hyundai Genesis Coupe,6,223,6 Speed Manual,72,2010
687,12,Automatic transmission,Rear-wheel drive,Mercedes-AMG 6.3L 8 Cylinder 451 hp 443 ft-lbs,Gasoline,157,19,451,False,2010 Mercedes-Benz C63 AMG Sport,118,AMG,2010 Mercedes-Benz C-Class,7,443,7 Speed Automatic Select Shift,3,2010
688,21,Manual transmission,Front-wheel drive,Volkswagen 2.0L 4 Cylinder 200 hp 207 ft-lbs Turbo,Gasoline,188,31,200,False,2010 Volkswagen GTI 2-Door,115,Volkswagen,2010 Volkswagen GTI 2-Door,6,207,6 Speed Manual,242,2010
689,21,Manual transmission,Front-wheel drive,Volkswagen 2.0L 4 Cylinder 200 hp 207 ft-lbs Turbo,Gasoline,188,31,200,False,2011 Volkswagen GTI 2-Door,115,Volkswagen,2011 Volkswagen GTI 2-Door,6,207,6 Speed Manual,242,2011
690,19,Manual transmission,Rear-wheel drive,Ford 3.7L 6 Cylinder 305 hp 280 ft-lbs,Gasoline,137,29,305,False,2012 Ford Mustang V6,169,Ford,2012 Ford Mustang Coup,6,280,6 Speed Manual,85,2012
691,19,Automatic transmission,Rear-wheel drive,Ford 3.7L 6 Cylinder 305 hp 280 ft-lbs,Gasoline,137,31,305,False,2012 Ford Mustang V6 AT,169,Ford,2012 Ford Mustang Coup,6,280,6 Speed Automatic,85,2012
692,19,Manual transmission,Rear-wheel drive,Ford 3.7L 6 Cylinder 305 hp 280 ft-lbs,Gasoline,137,29,305,False,2012 Ford Mustang V6 Premium,169,Ford,2012 Ford Mustang Coup,6,280,6 Speed Manual,85,2012
693,19,Automatic transmission,Rear-wheel drive,Ford 3.7L 6 Cylinder 305 hp 280 ft-lbs,Gasoline,137,31,305,False,2012 Ford Mustang V6 Premium AT,169,Ford,2012 Ford Mustang Coup,6,280,6 Speed Automatic,85,2012
694,17,Manual transmission,Rear-wheel drive,Ford 5.0L 8 Cylinder 412 hp 390 ft-lbs,Gasoline,137,26,412,False,2012 Ford Mustang GT,169,Ford,2012 Ford Mustang Coup,6,390,6 Speed Manual,85,2012
695,18,Automatic transmission,Rear-wheel drive,Ford 5.0L 8 Cylinder 412 hp 390 ft-lbs,Gasoline,137,25,412,False,2012 Ford Mustang GT AT,169,Ford,2012 Ford Mustang Coup,6,390,6 Speed Automatic,85,2012
696,17,Manual transmission,Rear-wheel drive,Ford 5.0L 8 Cylinder 412 hp 390 ft-lbs,Gasoline,137,26,412,False,2012 Ford Mustang GT Premium,169,Ford,2012 Ford Mustang Coup,6,390,6 Speed Manual,85,2012
697,18,Automatic transmission,Rear-wheel drive,Ford 5.0L 8 Cylinder 412 hp 390 ft-lbs,Gasoline,137,25,412,False,2012 Ford Mustang GT Premium AT,169,Ford,2012 Ford Mustang Coup,6,390,6 Speed Automatic,85,2012
698,17,Manual transmission,Rear-wheel drive,Ford 5.0L 8 Cylinder 444 hp 380 ft-lbs,Gasoline,119,26,444,False,2012 Ford Mustang Boss 302,169,Ford,2012 Ford Mustang Coup,6,380,6 Speed Manual,85,2012
699,18,Automatic transmission,All-wheel drive,Mercedes-Benz 3.0L 6 Cylinders 228 hp 221 ft-lbs FFV,Gasoline,165,25,228,False,2010 Mercedes-Benz C300 Luxury 4MATIC,22,Mercedes,2010 Mercedes-Benz C-Class,7,221,7 Speed Automatic Select Shift,234,2010
700,19,Manual transmission,Rear-wheel drive,Ford 3.7L 6 Cylinder 305 hp 280 ft-lbs,Gasoline,137,30,305,False,2012 Ford Mustang V6 Convertible,169,Ford,2012 Ford Mustang Convertible,6,280,6 Speed Manual,85,2012
701,19,Automatic transmission,Rear-wheel drive,Ford 3.7L 6 Cylinder 305 hp 280 ft-lbs,Gasoline,137,30,305,False,2012 Ford Mustang V6 Convertible AT,169,Ford,2012 Ford Mustang Convertible,6,280,6 Speed Automatic,85,2012
702,19,Manual transmission,Rear-wheel drive,Ford 3.7L 6 Cylinder 305 hp 280 ft-lbs,Gasoline,137,30,305,False,2012 Ford Mustang V6 Premium Convertible,169,Ford,2012 Ford Mustang Convertible,6,280,6 Speed Manual,85,2012
703,19,Automatic transmission,Rear-wheel drive,Ford 3.7L 6 Cylinder 305 hp 280 ft-lbs,Gasoline,137,30,305,False,2012 Ford Mustang V6 Premium Convertible AT,169,Ford,2012 Ford Mustang Convertible,6,280,6 Speed Automatic,85,2012
704,19,Manual transmission,Rear-wheel drive,Ford 5.0L 8 Cylinder 412 hp 390 ft-lbs,Gasoline,137,30,412,False,2012 Ford Mustang GT Convertible,169,Ford,2012 Ford Mustang Convertible,6,390,6 Speed Manual,85,2012
705,18,Automatic transmission,Rear-wheel drive,Ford 5.0L 8 Cylinder 412 hp 390 ft-lbs,Gasoline,137,25,412,False,2012 Ford Mustang GT Convertible AT,169,Ford,2012 Ford Mustang Convertible,6,390,6 Speed Automatic,85,2012
706,19,Manual transmission,Rear-wheel drive,Ford 5.0L 8 Cylinder 412 hp 390 ft-lbs,Gasoline,137,30,412,False,2012 Ford Mustang GT Premium Convertible,169,Ford,2012 Ford Mustang Convertible,6,390,6 Speed Manual,85,2012
707,18,Automatic transmission,Rear-wheel drive,Ford 5.0L 8 Cylinder 412 hp 390 ft-lbs,Gasoline,137,25,412,False,2012 Ford Mustang GT Premium Convertible AT,169,Ford,2012 Ford Mustang Convertible,6,390,6 Speed Automatic,85,2012
708,19,Manual transmission,Rear-wheel drive,Ford 3.7L 6 Cylinder 305 hp 280 ft-lbs,Gasoline,144,29,305,False,2011 Ford Mustang V6 Convertible,169,Ford,2011 Ford Mustang Convertible,6,280,6 Speed Manual,85,2011
709,19,Automatic transmission,Rear-wheel drive,Ford 3.7L 6 Cylinder 305 hp 280 ft-lbs,Gasoline,144,30,305,False,2011 Ford Mustang V6 Convertible AT,169,Ford,2011 Ford Mustang Convertible,6,280,6 Speed Automatic,85,2011
710,19,Manual transmission,Rear-wheel drive,Ford 3.7L 6 Cylinder 305 hp 280 ft-lbs,Gasoline,144,29,305,False,2011 Ford Mustang V6 Premium Convertible,169,Ford,2011 Ford Mustang Convertible,6,280,6 Speed Manual,85,2011
711,19,Automatic transmission,Rear-wheel drive,Ford 3.7L 6 Cylinder 305 hp 280 ft-lbs,Gasoline,144,30,305,False,2011 Ford Mustang V6 Premium Convertible AT,169,Ford,2011 Ford Mustang Convertible,6,280,6 Speed Automatic,85,2011
712,17,Manual transmission,Rear-wheel drive,Ford 5.0L 8 Cylinder 412 hp 390 ft-lbs,Gasoline,137,26,412,False,2011 Ford Mustang GT Convertible,169,Ford,2011 Ford Mustang Convertible,6,390,6 Speed Manual,85,2011
713,18,Automatic transmission,Rear-wheel drive,Ford 5.0L 8 Cylinder 412 hp 390 ft-lbs,Gasoline,137,25,412,False,2011 Ford Mustang GT Convertible AT,169,Ford,2011 Ford Mustang Convertible,6,390,6 Speed Automatic,85,2011
714,17,Manual transmission,Rear-wheel drive,Ford 5.0L 8 Cylinder 412 hp 390 ft-lbs,Gasoline,137,26,412,False,2011 Ford Mustang GT Premium Convertible,169,Ford,2011 Ford Mustang Convertible,6,390,6 Speed Manual,85,2011
715,18,Automatic transmission,Rear-wheel drive,Ford 5.0L 8 Cylinder 412 hp 390 ft-lbs,Gasoline,137,25,412,False,2011 Ford Mustang GT Premium Convertible AT,169,Ford,2011 Ford Mustang Convertible,6,390,6 Speed Automatic,85,2011
716,19,Manual transmission,Rear-wheel drive,Ford 3.7L 6 Cylinder 305 hp 280 ft-lbs,Gasoline,144,29,305,False,2011 Ford Mustang V6,169,Ford,2011 Ford Mustang Coup,6,280,6 Speed Manual,85,2011
717,19,Automatic transmission,Rear-wheel drive,Ford 3.7L 6 Cylinder 305 hp 280 ft-lbs,Gasoline,144,31,305,False,2011 Ford Mustang V6 AT,169,Ford,2011 Ford Mustang Coup,6,280,6 Speed Automatic,85,2011
718,19,Manual transmission,Rear-wheel drive,Ford 3.7L 6 Cylinder 305 hp 280 ft-lbs,Gasoline,144,29,305,False,2011 Ford Mustang V6 Premium,169,Ford,2011 Ford Mustang Coup,6,280,6 Speed Manual,85,2011
719,19,Automatic transmission,Rear-wheel drive,Ford 3.7L 6 Cylinder 305 hp 280 ft-lbs,Gasoline,144,31,305,False,2011 Ford Mustang V6 Premium AT,169,Ford,2011 Ford Mustang Coup,6,280,6 Speed Automatic,85,2011
720,17,Manual transmission,Rear-wheel drive,Ford 5.0L 8 Cylinder 412 hp 390 ft-lbs,Gasoline,137,26,412,False,2011 Ford Mustang GT,169,Ford,2011 Ford Mustang Coup,6,390,6 Speed Manual,85,2011
721,18,Automatic transmission,Rear-wheel drive,Ford 5.0L 8 Cylinder 412 hp 390 ft-lbs,Gasoline,137,25,412,False,2011 Ford Mustang GT AT,169,Ford,2011 Ford Mustang Coup,6,390,6 Speed Automatic,85,2011
722,17,Manual transmission,Rear-wheel drive,Ford 5.0L 8 Cylinder 412 hp 390 ft-lbs,Gasoline,137,26,412,False,2011 Ford Mustang GT Premium,169,Ford,2011 Ford Mustang Coup,6,390,6 Speed Manual,85,2011
723,18,Automatic transmission,Rear-wheel drive,Ford 5.0L 8 Cylinder 412 hp 390 ft-lbs,Gasoline,137,25,412,False,2011 Ford Mustang GT Premium AT,169,Ford,2011 Ford Mustang Coup,6,390,6 Speed Automatic,85,2011
724,18,Manual transmission,Rear-wheel drive,Mercedes-Benz 3.0L 6 Cylinders 228 hp 221 ft-lbs FFV,Gasoline,150,26,228,False,2011 Mercedes-Benz C300 Sport FFV,22,Mercedes,2011 Mercedes-Benz C-Class,6,221,6 Speed Manual,234,2011
725,13,Automatic transmission,Rear-wheel drive,Mercedes-AMG 6.3L 8 Cylinder 451 hp 443 ft-lbs,Gasoline,157,19,451,False,2011 Mercedes-Benz C63 AMG Sport,118,AMG,2011 Mercedes-Benz C-Class,7,443,7 Speed Automatic Select Shift,3,2011
726,18,Automatic transmission,All-wheel drive,Mercedes-Benz 3.0L 6 Cylinder 228 hp 221 ft-lbs,Gasoline,165,25,228,False,2011 Mercedes-Benz C300 Luxury 4MATIC,22,Mercedes,2011 Mercedes-Benz C-Class,7,221,7 Speed Automatic Select Shift,234,2011
727,18,Automatic transmission,Rear-wheel drive,Mercedes-Benz 3.0L 6 Cylinders 228 hp 221 ft-lbs FFV,Gasoline,165,26,228,False,2011 Mercedes-Benz C300 Luxury,22,Mercedes,2011 Mercedes-Benz C-Class,7,221,7 Speed Automatic Select Shift,234,2011
728,17,Automatic transmission,Rear-wheel drive,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,Gasoline,150,25,268,False,2011 Mercedes-Benz C350 Sport,22,Mercedes,2011 Mercedes-Benz C-Class,7,258,7 Speed Automatic Select Shift,234,2011
729,13,Automatic transmission,Rear-wheel drive,Mercedes-Benz 3.0L 6 Cylinders 228 hp 221 ft-lbs FFV,E85,150,19,228,False,2011 Mercedes-Benz C300 Sport AT FFV,22,Mercedes,2011 Mercedes-Benz C-Class,7,221,7 Speed Automatic Select Shift,234,2011
730,27,Automatic transmission,Front-wheel drive,Kia 1.6L 4 Cylinder  110 hp 107 ft-lbs,Gasoline,190,36,110,False,2011 Kia Rio5 LX,175,Kia,2011 Kia Rio5,4,107,4 Speed Automatic,158,2011
731,27,Automatic transmission,Front-wheel drive,Kia 1.6L 4 Cylinder  110 hp 107 ft-lbs,Gasoline,190,36,110,False,2011 Kia Rio5 SX,175,Kia,2011 Kia Rio5,4,107,4 Speed Automatic,158,2011
732,28,Manual transmission,Front-wheel drive,Kia 1.6L 4 Cylinder  110 hp 107 ft-lbs,Gasoline,190,34,110,False,2010 Kia Rio5 LX,185,Kia,2010 Kia Rio5,5,107,5 Speed Manual,158,2010
733,27,Automatic transmission,Front-wheel drive,Kia 1.6L 4 Cylinder  110 hp 107 ft-lbs,Gasoline,190,36,110,False,2010 Kia Rio5 LX AT,185,Kia,2010 Kia Rio5,4,107,4 Speed Automatic,158,2010
734,28,Manual transmission,Front-wheel drive,Kia 1.6L 4 Cylinder  110 hp 107 ft-lbs,Gasoline,190,34,110,False,2010 Kia Rio5 SX,185,Kia,2010 Kia Rio5,5,107,5 Speed Manual,158,2010
735,27,Automatic transmission,Front-wheel drive,Kia 1.6L 4 Cylinder  110 hp 107 ft-lbs,Gasoline,190,36,110,False,2010 Kia Rio5 SX AT,185,Kia,2010 Kia Rio5,4,107,4 Speed Automatic,158,2010
736,21,Manual transmission,Front-wheel drive,Volkswagen 2.0L 4 Cylinder 200 hp 207 ft-lbs Turbo,Gasoline,188,31,200,False,2011 Volkswagen GTI 4-Door,115,Volkswagen,2011 Volkswagen GTI 4-Door,6,207,6 Speed Manual,242,2011
737,28,Manual transmission,Front-wheel drive,Kia 1.6L 4 Cylinder  110 hp 107 ft-lbs,Gasoline,190,34,110,False,2010 Kia Rio,153,Kia,2010 Kia Rio,5,107,5 Speed Manual,158,2010
738,28,Manual transmission,Front-wheel drive,Kia 1.6L 4 Cylinder  110 hp 107 ft-lbs,Gasoline,190,34,110,False,2010 Kia Rio LX,153,Kia,2010 Kia Rio,5,107,5 Speed Manual,158,2010
739,27,Automatic transmission,Front-wheel drive,Kia 1.6L 4 Cylinder  110 hp 107 ft-lbs,Gasoline,190,36,110,False,2010 Kia Rio LX AT,153,Kia,2010 Kia Rio,4,107,4 Speed Automatic,158,2010
740,28,Manual transmission,Front-wheel drive,Kia 1.6L 4 Cylinder  110 hp 107 ft-lbs,Gasoline,190,34,110,False,2010 Kia Rio SX,153,Kia,2010 Kia Rio,5,107,5 Speed Manual,158,2010
741,27,Automatic transmission,Front-wheel drive,Kia 1.6L 4 Cylinder  110 hp 107 ft-lbs,Gasoline,190,36,110,False,2010 Kia Rio SX AT,153,Kia,2010 Kia Rio,4,107,4 Speed Automatic,158,2010
742,26,Manual transmission,Front-wheel drive,Kia 1.6L 4 Cylinder 122 hp 115 ft-lbs,Gasoline,74,31,122,False,2011 Kia Soul,8,Kia,2011 Kia Soul,5,115,5 Speed Manual,249,2011
743,24,Manual transmission,Front-wheel drive,Kia 2.0L 4 Cylinder 142 hp 137 ft-lbs,Gasoline,74,30,142,False,2011 Kia Soul +,8,Kia,2011 Kia Soul,5,137,5 Speed Manual,249,2011
744,24,Automatic transmission,Front-wheel drive,Kia 2.0L 4 Cylinder 142 hp 137 ft-lbs,Gasoline,74,30,142,False,2011 Kia Soul + AT,8,Kia,2011 Kia Soul,4,137,4 Speed Automatic,249,2011
745,24,Automatic transmission,Front-wheel drive,Kia 2.0L 4 Cylinder 142 hp 137 ft-lbs,Gasoline,74,30,142,False,2011 Kia Soul !,8,Kia,2011 Kia Soul,4,137,4 Speed Automatic,249,2011
746,24,Automatic transmission,Front-wheel drive,Kia 2.0L 4 Cylinder 142 hp 137 ft-lbs,Gasoline,74,30,142,False,2011 Kia Soul Sport,8,Kia,2011 Kia Soul,4,137,4 Speed Automatic,249,2011
747,17,Manual transmission,Rear-wheel drive,Chevrolet 3.6L 6 Cylinder 312 hp 278 ft-lbs,Gasoline,96,28,312,False,2011 Chevrolet Camaro Coupe 1LS,228,Chevrolet,2011 Chevrolet Camaro Coupe,6,278,6 Speed Manual,125,2011
748,19,Automatic transmission,Rear-wheel drive,Chevrolet 3.6L 6 Cylinder 312 hp 278 ft-lbs,Gasoline,96,30,312,False,2011 Chevrolet Camaro Coupe 1LS AT,228,Chevrolet,2011 Chevrolet Camaro Coupe,6,278,6 Speed Automatic,125,2011
749,18,Automatic transmission,Rear-wheel drive,Chevrolet 3.6L 6 Cylinder 312 hp 278 ft-lbs,Gasoline,96,29,312,False,2011 Chevrolet Camaro Coupe 2LS,228,Chevrolet,2011 Chevrolet Camaro Coupe,6,278,6 Speed Automatic Select Shift,125,2011
750,17,Manual transmission,Rear-wheel drive,Chevrolet 3.6L 6 Cylinder 312 hp 278 ft-lbs,Gasoline,96,28,312,False,2011 Chevrolet Camaro Coupe 1LT,228,Chevrolet,2011 Chevrolet Camaro Coupe,6,278,6 Speed Manual,125,2011
751,19,Automatic transmission,Rear-wheel drive,Chevrolet 3.6L 6 Cylinder 312 hp 278 ft-lbs,Gasoline,96,30,312,False,2011 Chevrolet Camaro Coupe 1LT AT,228,Chevrolet,2011 Chevrolet Camaro Coupe,6,278,6 Speed Automatic,125,2011
752,17,Manual transmission,Rear-wheel drive,Chevrolet 3.6L 6 Cylinder 312 hp 278 ft-lbs,Gasoline,96,28,312,False,2011 Chevrolet Camaro Coupe 2LT,228,Chevrolet,2011 Chevrolet Camaro Coupe,6,278,6 Speed Manual,125,2011
753,19,Automatic transmission,Rear-wheel drive,Chevrolet 3.6L 6 Cylinder 312 hp 278 ft-lbs,Gasoline,96,30,312,False,2011 Chevrolet Camaro Coupe 2LT AT,228,Chevrolet,2011 Chevrolet Camaro Coupe,6,278,6 Speed Automatic,125,2011
754,16,Manual transmission,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 426 hp 420 ft-lbs,Gasoline,96,24,426,False,2011 Chevrolet Camaro Coupe 1SS,228,Chevrolet,2011 Chevrolet Camaro Coupe,6,420,6 Speed Manual,125,2011
755,16,Automatic transmission,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 426 hp 420 ft-lbs,Gasoline,96,25,426,False,2011 Chevrolet Camaro Coupe 1SS AT,228,Chevrolet,2011 Chevrolet Camaro Coupe,6,420,6 Speed Automatic,125,2011
756,16,Manual transmission,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 426 hp 420 ft-lbs,Gasoline,96,24,426,False,2011 Chevrolet Camaro Coupe 2SS,228,Chevrolet,2011 Chevrolet Camaro Coupe,6,420,6 Speed Manual,125,2011
757,16,Automatic transmission,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 426 hp 420 ft-lbs,Gasoline,96,25,426,False,2011 Chevrolet Camaro Coupe 2SS AT,228,Chevrolet,2011 Chevrolet Camaro Coupe,6,420,6 Speed Automatic,125,2011
758,18,Manual transmission,Rear-wheel drive,Ford 4.0L 6 cylinder 210 hp 240 ft-lbs,Gasoline,132,26,210,False,2010 Ford Mustang V6,169,Ford,2010 Ford Mustang Coup,5,240,5 Speed Manual,85,2010
759,16,Automatic transmission,Rear-wheel drive,Ford 4.0L 6 cylinder 210 hp 240 ft-lbs,Gasoline,132,24,210,False,2010 Ford Mustang V6 AT,169,Ford,2010 Ford Mustang Coup,5,240,5 Speed Automatic,85,2010
760,18,Manual transmission,Rear-wheel drive,Ford 4.0L 6 cylinder 210 hp 240 ft-lbs,Gasoline,132,26,210,False,2010 Ford Mustang V6 Premium,169,Ford,2010 Ford Mustang Coup,5,240,5 Speed Manual,85,2010
761,16,Automatic transmission,Rear-wheel drive,Ford 4.0L 6 cylinder 210 hp 240 ft-lbs,Gasoline,132,24,210,False,2010 Ford Mustang V6 Premium AT,169,Ford,2010 Ford Mustang Coup,5,240,5 Speed Automatic,85,2010
762,16,Manual transmission,Rear-wheel drive,Ford 4.6L 8 Cylinder 315 hp 325 ft-lbs,Gasoline,132,24,315,False,2010 Ford Mustang GT,169,Ford,2010 Ford Mustang Coup,5,325,5 Speed Manual,85,2010
763,17,Automatic transmission,Rear-wheel drive,Ford 4.6L 8 Cylinder 315 hp 325 ft-lbs,Gasoline,132,23,315,False,2010 Ford Mustang GT AT,169,Ford,2010 Ford Mustang Coup,5,325,5 Speed Automatic,85,2010
764,16,Manual transmission,Rear-wheel drive,Ford 4.6L 8 Cylinder 315 hp 325 ft-lbs,Gasoline,132,24,315,False,2010 Ford Mustang GT Premium,169,Ford,2010 Ford Mustang Coup,5,325,5 Speed Manual,85,2010
765,17,Automatic transmission,Rear-wheel drive,Ford 4.6L 8 Cylinder 315 hp 325 ft-lbs,Gasoline,132,23,315,False,2010 Ford Mustang GT Premium,169,Ford,2010 Ford Mustang Coup,5,325,5 Speed Automatic,85,2010
766,26,Manual transmission,Front-wheel drive,Kia 1.6L 4 Cylinder 122 hp 115 ft-lbs,Gasoline,74,31,122,False,2010 Kia Soul,8,Kia,2010 Kia Soul,5,115,5 Speed Manual,249,2010
767,24,Manual transmission,Front-wheel drive,Kia 2.0L 4 Cylinder 142 hp 137 ft-lbs,Gasoline,74,30,142,False,2010 Kia Soul +,8,Kia,2010 Kia Soul,5,137,5 Speed Manual,249,2010
768,24,Automatic transmission,Front-wheel drive,Kia 2.0L 4 Cylinder 142 hp 137 ft-lbs,Gasoline,74,30,142,False,2010 Kia Soul + AT,8,Kia,2010 Kia Soul,4,137,4 Speed Automatic,249,2010
769,24,Manual transmission,Front-wheel drive,Kia 2.0L 4 Cylinder 142 hp 137 ft-lbs,Gasoline,74,30,142,False,2010 Kia Soul !,8,Kia,2010 Kia Soul,5,137,5 Speed Manual,249,2010
770,24,Automatic transmission,Front-wheel drive,Kia 2.0L 4 Cylinder 142 hp 137 ft-lbs,Gasoline,74,30,142,False,2010 Kia Soul ! AT,8,Kia,2010 Kia Soul,4,137,4 Speed Automatic,249,2010
771,24,Manual transmission,Front-wheel drive,Kia 2.0L 4 Cylinder 142 hp 137 ft-lbs,Gasoline,74,30,142,False,2010 Kia Soul Sport,8,Kia,2010 Kia Soul,5,137,5 Speed Manual,249,2010
772,24,Automatic transmission,Front-wheel drive,Kia 2.0L 4 Cylinder 142 hp 137 ft-lbs,Gasoline,74,30,142,False,2010 Kia Soul Sport AT,8,Kia,2010 Kia Soul,4,137,4 Speed Automatic,249,2010
773,18,Manual transmission,Rear-wheel drive,Ford 4.0L 6 cylinder 210 hp 240 ft-lbs,Gasoline,144,26,210,False,2010 Ford Mustang V6 Convertible,169,Ford,2010 Ford Mustang Convertible,5,240,5 Speed Manual,85,2010
774,16,Automatic transmission,Rear-wheel drive,Ford 4.0L 6 cylinder 210 hp 240 ft-lbs,Gasoline,144,24,210,False,2010 Ford Mustang V6 Convertible AT,169,Ford,2010 Ford Mustang Convertible,5,240,5 Speed Automatic,85,2010
775,18,Manual transmission,Rear-wheel drive,Ford 4.0L 6 cylinder 210 hp 240 ft-lbs,Gasoline,144,26,210,False,2010 Ford Mustang V6 Premium Convertible,169,Ford,2010 Ford Mustang Convertible,5,240,5 Speed Manual,85,2010
776,16,Automatic transmission,Rear-wheel drive,Ford 4.0L 6 cylinder 210 hp 240 ft-lbs,Gasoline,144,24,210,False,2010 Ford Mustang V6 Premium Convertible AT,169,Ford,2010 Ford Mustang Convertible,5,240,5 Speed Automatic,85,2010
777,16,Manual transmission,Rear-wheel drive,Ford 4.6L 8 Cylinder 315 hp 325 ft-lbs,Gasoline,144,24,315,False,2010 Ford Mustang GT Convertible,169,Ford,2010 Ford Mustang Convertible,5,325,5 Speed Manual,85,2010
